,time,tavg,tmin,tmax,prcp,snow,wspd,airport
299,2017-01-08,-5.3,-9.9,0.0,0.0,30.0,9.7,CLE
300,2017-01-09,-4.5,-8.2,0.6,0.0,30.0,7.6,LAS
301,2017-01-10,0.9,-6.0,10.6,0.0,0.0,7.9,LAS
302,2017-01-11,8.7,5.0,14.4,0.8,0.0,6.8,LAS
303,2017-01-12,14.3,7.8,21.7,0.0,0.0,16.6,LAS
304,2017-01-13,17.2,11.1,25.6,0.0,0.0,8.3,LAS
305,2017-01-14,14.7,7.8,17.2,0.0,0.0,10.4,LAS
306,2017-01-15,12.5,6.1,20.6,0.0,0.0,9.0,LAS
307,2017-01-16,12.1,10.0,12.2,0.0,0.0,8.6,LAS
308,2017-01-17,12.1,9.4,17.8,0.0,0.0,11.9,LAS
309,2017-01-18,18.5,6.1,23.9,0.0,0.0,14.4,LAS
310,2017-01-19,11.5,1.1,18.9,0.0,0.0,7.2,LAS
311,2017-01-20,13.5,10.6,16.7,2.3,0.0,8.6,LAS
312,2017-01-21,12.6,11.7,13.9,25.1,0.0,8.3,LAS
313,2017-01-22,14.0,12.2,17.8,18.8,0.0,13.7,LAS
314,2017-01-23,11.7,7.8,13.3,30.0,0.0,11.5,LAS
315,2017-01-24,11.3,4.4,18.9,0.0,0.0,10.4,LAS
316,2017-01-25,11.1,1.7,23.3,0.0,0.0,12.2,LAS
317,2017-01-26,16.1,3.9,19.4,0.3,0.0,19.4,LAS
318,2017-01-27,5.3,-2.1,11.1,0.0,0.0,11.2,LAS
319,2017-01-28,3.5,-2.7,11.1,0.0,0.0,12.2,LAS
320,2017-01-29,6.1,0.6,12.2,0.0,0.0,16.2,LAS
321,2017-01-30,4.3,-2.7,10.0,0.0,0.0,9.7,LAS
322,2017-01-31,8.7,1.1,21.1,0.0,0.0,15.5,LAS
323,2017-01-09,-4.5,-8.2,0.6,0.0,30.0,7.6,BOI
324,2017-01-11,8.7,5.0,14.4,0.8,0.0,6.8,BOI
325,2017-01-12,14.3,7.8,21.7,0.0,0.0,16.6,BOI
326,2017-01-13,17.2,11.1,25.6,0.0,0.0,8.3,BOI
327,2017-01-14,14.7,7.8,17.2,0.0,0.0,10.4,BOI
328,2017-01-15,12.5,6.1,20.6,0.0,0.0,9.0,BOI
329,2017-01-16,12.1,10.0,12.2,0.0,0.0,8.6,BOI
330,2017-01-18,18.5,6.1,23.9,0.0,0.0,14.4,BOI
331,2017-01-19,11.5,1.1,18.9,0.0,0.0,7.2,BOI
332,2017-01-20,13.5,10.6,16.7,2.3,0.0,8.6,BOI
333,2017-01-21,12.6,11.7,13.9,25.1,0.0,8.3,BOI
334,2017-01-22,14.0,12.2,17.8,18.8,0.0,13.7,BOI
335,2017-01-23,11.7,7.8,13.3,30.0,0.0,11.5,BOI
336,2017-01-25,11.1,1.7,23.3,0.0,0.0,12.2,BOI
337,2017-01-26,16.1,3.9,19.4,0.3,0.0,19.4,BOI
338,2017-01-27,5.3,-2.1,11.1,0.0,0.0,11.2,BOI
339,2017-01-28,3.5,-2.7,11.1,0.0,0.0,12.2,BOI
340,2017-01-29,6.1,0.6,12.2,0.0,0.0,16.2,BOI
341,2017-01-30,4.3,-2.7,10.0,0.0,0.0,9.7,BOI
342,2017-01-11,8.7,5.0,14.4,0.8,0.0,6.8,PHX
343,2017-01-18,18.5,6.1,23.9,0.0,0.0,14.4,PHX
344,2017-01-25,11.1,1.7,23.3,0.0,0.0,12.2,PHX
345,2017-01-01,6.8,3.9,10.0,12.4,0.0,9.0,SJC
346,2017-01-02,10.0,8.9,11.7,22.4,0.0,11.2,SJC
347,2017-01-03,9.6,8.3,13.3,17.5,0.0,7.9,SJC
348,2017-01-04,11.6,1.1,15.6,0.0,0.0,10.1,SJC
349,2017-01-05,4.5,-2.1,7.8,0.0,0.0,8.6,SJC
350,2017-01-06,4.7,-0.5,6.7,5.8,0.0,11.2,SJC
351,2017-01-08,-5.3,-9.9,0.0,0.0,30.0,9.7,SJC
352,2017-01-07,-0.7,-7.1,0.6,9.9,30.0,17.6,SMF
353,2017-01-09,-4.5,-8.2,0.6,0.0,30.0,7.6,MCO
354,2017-01-11,8.7,5.0,14.4,0.8,0.0,6.8,MCO
355,2017-01-12,14.3,7.8,21.7,0.0,0.0,16.6,MCO
356,2017-01-13,17.2,11.1,25.6,0.0,0.0,8.3,MCO
357,2017-01-14,14.7,7.8,17.2,0.0,0.0,10.4,MCO
358,2017-01-15,12.5,6.1,20.6,0.0,0.0,9.0,MCO
359,2017-01-16,12.1,10.0,12.2,0.0,0.0,8.6,MCO
360,2017-01-18,18.5,6.1,23.9,0.0,0.0,14.4,MCO
361,2017-01-19,11.5,1.1,18.9,0.0,0.0,7.2,MCO
362,2017-01-20,13.5,10.6,16.7,2.3,0.0,8.6,MCO
363,2017-01-21,12.6,11.7,13.9,25.1,0.0,8.3,MCO
364,2017-01-22,14.0,12.2,17.8,18.8,0.0,13.7,MCO
365,2017-01-23,11.7,7.8,13.3,30.0,0.0,11.5,MCO
366,2017-01-25,11.1,1.7,23.3,0.0,0.0,12.2,MCO
367,2017-01-26,16.1,3.9,19.4,0.3,0.0,19.4,MCO
368,2017-01-27,5.3,-2.1,11.1,0.0,0.0,11.2,MCO
369,2017-01-28,3.5,-2.7,11.1,0.0,0.0,12.2,MCO
370,2017-01-29,6.1,0.6,12.2,0.0,0.0,16.2,MCO
